title,rating,tags,image,url,summary
尼罗河上的惨案,8.6,[英]阿加莎·克里斯蒂 / 新星出版社 / 2013-9,https://img1.doubanio.com/view/subject/l/public/s27027698.jpg,https://book.douban.com/subject/25697546/,琳内特•里奇卫拥有一切——年轻、美貌、过人的头脑，而且还继承了巨额财产。但出乎所有人的意料，她闪电般地与自己的地产经纪人，也就是好友奎杰琳的男友多伊尔结了婚。婚后幸福的二人决定去埃及度蜜月。决意复仇的杰奎琳、偷偷在琳内特财产上做了手脚的律师，以及其他许多似乎是外人的游客，与他们登上了同一条船。在尼罗河上，惨案发生了，一颗子弹贯穿了熟睡中的琳内特的头颅……
再见，妖精,7.3,[日] 米泽穗信 / 2008 / 皇冠出版社,https://img9.doubanio.com/view/subject/l/public/s3843295.jpg,https://book.douban.com/subject/3154633/,為什麼有人在雨天跑出門，卻不撐開手中的雨傘？為什麼象徵吉祥的紅白豆沙包被放在墳墓前？為什麼兩個射箭實力相當的同學，同樣射中兩箭，老師卻稱讚一個、對另一個生氣？瑪亞，就像隻拿著放大鏡的好奇貓般，一邊觀察生活一邊不停詢問：『這有什麼哲學上的意義嗎？』剛開始我覺得她真是想太多了，但漸漸的，我發現自己也跟著她當起偵探來……
信任 Trust,8.2,[美] 埃尔南·迪亚斯 / 2024 / 上海译文出版社,https://img1.doubanio.com/view/subject/s/public/s34836050.jpg,https://book.douban.com/subject/36852938/,1920年代的纽约虽然众声喧哗，拉斯克夫妇仍是最耀眼的一对：本杰明是传奇的华尔街大亨，海 伦是古怪贵族绝顶聪慧的女儿。就在一场全国性的经济危机之时，他们共同攀升至无尽财富的巅峰。可他们为了获取巨额财富，究竟付出了什么代价？这是1937年的小说《纽带》中的谜团，然而，这个关于特权和欺骗的故事还有其他版本。流行小说和大亨自传交织出相互矛盾的叙述，而自传背后的影子写手，才是跨越一个世纪从事实中解开虚构的人：是她找到了被覆盖在层层帘幕后那位女主人真正的声音，它将揭开无尽财富的秘密。《信任》是一个展现资本主义失控情形的万花筒，它关乎对真相的追寻，关乎财富所带来的扭曲现实的力量，以及权力如何操控事实。
围城,9.3,钱锺书 / 1991 / 人民文学出版社,https://img3.doubanio.com/view/subject/s/public/s11276847.jpg,https://book.douban.com/subject/11524204/,《围城》是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。钱钟书先生将自己的语言天才并入极其渊博的知识，再添加上一些讽刺主义的幽默调料，以一书而定江山。《围城》显示给我们一个真正的聪明人是怎样看人生，又怎样用所有作家都必得使用的文字来表述自己的“观”和“感”的。
迷宫馆事件,7.7,[日] 绫辻行人 / 2016 / 新星出版社,https://img1.doubanio.com/view/subject/s/public/s28775768.jpg,https://book.douban.com/subject/26771720/,推理小说家宫垣叶太郎邀请他的四位得意门生参加自己的生日宴会，宴会地点是格局犹如迷宫的迷宫馆。但是，当四位作家到齐时，老作家宫垣已死，遗言中交代：四位作家要在五天内写出以“迷宫馆”为场景、以自己为受害者的小说，而写得最好的，将得到他的巨额遗产。四位作家自然挖空心思，各显神通，然而，他们却陆续死于非命，而且死法和自己小说中写的一模一样……
钟表馆事件,8.3,[日] 绫辻行人 / 2016 / 新星出版社,https://img9.doubanio.com/view/subject/s/public/s28775794.jpg,https://book.douban.com/subject/26771719/,镰仓的寂静山林，隐藏着又一处中村青司设计的神秘建筑---钟表馆。馆内上百个不同的钟表，以不可思议的方式惊人地指向相同的时刻并等速行进着；馆外竖立着一座没有指针的钟塔，其钟铃也从未响起过。十年前，馆主人古峨伦典心爱的女儿不幸去世，随之而来的是古峨家另外六个相关人物的死亡。此后，在那沉默的钟塔下，出现了一个美丽的少女的幽灵，徘徊在静谧的森林中……十年后，以关注超自然现象而闻名的《CHAOS》杂志社，为了采查亡灵的真相，连同W大学超常现象研究会的几名成员，和一位通灵师一起，步入了诡异的钟表馆。然而他们没有想到，为期三天与世隔绝的通灵会，却演变成了疯狂的杀戮时刻。随着时光飞逝，他们一个接一个地倒下，死神的指针最终划破了冷酷的表盘……？？
笼里的女人,7.1,[丹] 阿德勒-奥尔森 / 2015 / 江苏凤凰文艺出版社,https://img1.doubanio.com/view/subject/l/public/s28151148.jpg,https://book.douban.com/subject/26304007/,丹麦最神秘离奇、无人能破的悬案，唯有他，能解开通往关键线索的密码。卡尔·穆尔克，哥本哈根的资探警探，具有猎犬般的直觉、对线索紧咬不放的毅力。当最优秀的警探碰上最棘手的悬案，真相能否水落石出？从五年前国会议员梅瑞特被列为失踪人口的那一刻开始，她的人生就堕入万劫不复的地狱。因为她被绑架了！绑架者将她拘禁在囚笼中过着非人的生活，如果无法回答出他们在她生日那天问的问题，就必须忍受牢里保持整年的黑暗或明亮，以及不断升高的气压。梅瑞特曾想坚持意志活下去，但在经历了漫长的折磨后，死亡似乎成为她最甜美的解脱……当所有人对这起失踪案不再抱持希望，卡尔却认为梅瑞特还活着。他越是接近谜团的核心，笼里的女人就一步步迈向死亡──卡尔能否赶在悲剧发生前，抢先发现隐藏背后的阴谋与真相？
饭桌追凶,6.8,[美] 詹姆斯·亚飞 / 2024 / 浙江文艺出版社,https://img9.doubanio.com/view/subject/l/public/s34988665.jpg,https://book.douban.com/subject/37022270/,《饭桌追凶》是美国作家詹姆斯·亚飞的短篇推理小说集。该书的主要内容是：每周五与母亲一起吃晚餐时，警官戴维都会聊起自己在工作时碰上的一些疑难案件。他的“神探母亲”会提出一些“简单”的问题，然后以犀利的切入点来揭开案件的真相。
野鸡杀手,6.9,[丹] 阿德勒-奥尔森 / 2015 / 江苏凤凰文艺出版社,https://img9.doubanio.com/view/subject/l/public/s28151164.jpg,https://book.douban.com/subject/26304008/,1987年，一对兄妹在自家的度假小屋惨遭杀害，虽然凶手指向几位家境富裕的寄宿学生，却因证据不足，让案情伴随两张从现场不翼而飞的游戏卡片被人刻意隐匿。20年后，这群寄宿学生成为社会的上流人士，表面上，他们是事业有成的正派商人；私底下，却是从狩猎游戏中获得快慰的“野鸡杀手”。不论商场或猎场，杀手们呼风唤雨，但如鬼魅般纠缠的往事可不受控制，总会有人要他们为过去的错误付出代价！卡尔接下“小屋案”后噩运不断，一连串的事件就像威胁他罢手的警告，难道凶手真的是掌控半个丹麦的商业巨子？他的调查又会引来什么样的危机？这一次，卡尔除了抽丝剥茧、还原真相，还得想办法保护自己从猎人设下的陷阱中全身而退……
毒巧克力命案,7.1,[英] 安东尼·伯克莱 / 2025 / 北京联合出版公司,https://img3.doubanio.com/view/subject/l/public/s35180003.jpg,https://book.douban.com/subject/37308748/,一盒毒巧克力，六位侦探，七个完全不同的“完美”真相—— · 某天，俱乐部的一位爵士收到一盒巧克力，他转手送给了俱乐部的另一位成员。数小时后，该成员的妻子在食用巧克力后中毒身亡。警方束手无策之际，犯罪研究俱乐部的六位推理爱好者挺身而出，却各自推导出截然不同的结论——每一重解答都逻辑缜密，都指向不同的凶手。然而，每一重解答，也都能被下一重解答推翻…… · 合理排列的线索与看似通顺的逻辑推理，真的能构筑出那个所谓的“终极真相”吗？
